, Emotion, Text, Clean_text
887,senang, Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus. , Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus.
888,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat. , Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat.
889,kesal, Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa. , Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa.
890,kecewa, Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus. , Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus.
891,puas, Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya. , Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya.
892,senang, Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus. , Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus.
893,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa.
894,kesal, Tata usaha kampus kurang responsif dan membuatkesal. , Tata usaha kampus kurang responsif dan membuatkesal.
895,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat. , Sangatkecewa dengan penanganan administrasi yang lambat.
896,puas, Pelayanan tata usaha kampus sangat baik dan memberikan solusi yang memuaskan. , Pelayanan tata usaha kampus sangat baik dan memberikan solusi yang memuaskan.
897,senang, Sayasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya. , Sayasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya.
898,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian. , Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian.
899,kesal, Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data. , Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data.
900,kecewa, Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus. , Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus.
901,puas, Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik. , Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik.
902,senang, Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus. , Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus.
903,biasa saja, Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik. , Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik.
904,kesal, Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa. , Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa.
905,kecewa, Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus. , Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus.
906,puas, Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik. , Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik.
907,senang, Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus. , Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus.
908,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat. , Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat.
909,kesal, Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa. , Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa.
910,kecewa, Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus. , Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus.
911,puas, Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya. , Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya.
912,senang, Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus. , Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus.
913,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa.
914,kesal, Tata usaha kampus kurang responsif dan membuatkesal. , Tata usaha kampus kurang responsif dan membuatkesal.
915,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat. , Sangatkecewa dengan penanganan administrasi yang lambat.
916,puas, Pelayanan tata usaha kampus sangat baik dan memberikan solusi yang memuaskan. , Pelayanan tata usaha kampus sangat baik dan memberikan solusi yang memuaskan.
917,senang, Sayasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya. , Sayasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya.
918,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian. , Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian.
919,kesal, Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data. , Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data.
920,kecewa, Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus. , Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus.
921,puas, Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik. , Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik.
922,senang, Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus. , Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus.
923,biasa saja, Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik. , Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik.
924,kesal, Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa. , Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa.
925,kecewa, Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus. , Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus.
926,puas, Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik. , Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik.
927,senang, Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus. , Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus.
928,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat. , Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat.
929,kesal, Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa. , Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa.
930,kecewa, Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus. , Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus.
931,puas, Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya. , Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya.
932,senang, Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus. , Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus.
933,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa.
934,kesal, Tata usaha kampus kurang responsif dan membuatkesal. , Tata usaha kampus kurang responsif dan membuatkesal.
935,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat. , Sangatkecewa dengan penanganan administrasi yang lambat.
936,puas, Pelayanan tata usaha kampus sangat baik dan memberikan solusi yang memuaskan. , Pelayanan tata usaha kampus sangat baik dan memberikan solusi yang memuaskan.
937,senang, Sayasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya. , Sayasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya.
938,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian. , Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian.
939,kesal, Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data. , Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data.
940,kecewa, Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus. , Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus.
941,puas, Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik. , Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik.
942,senang, Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus. , Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus.
943,biasa saja, Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik. , Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik.
944,kesal, Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa. , Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa.
945,kecewa, Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus. , Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus.
946,puas, Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik. , Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik.
947,senang, Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus. , Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus.
948,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat. , Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat.
949,kesal, Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa. , Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa.
950,kecewa, Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus. , Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus.
951,puas, Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya. , Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya.
952,senang, Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus. , Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus.
953,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa.
954,kesal, Tata usaha kampus kurang responsif dan membuatkesal. , Tata usaha kampus kurang responsif dan membuatkesal.
955,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat. , Sangatkecewa dengan penanganan administrasi yang lambat.
956,puas, Pelayanan tata usaha kampus sangat baik dan memberikan solusi yang memuaskan. , Pelayanan tata usaha kampus sangat baik dan memberikan solusi yang memuaskan.
957,senang, Sayasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya. , Sayasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya.
958,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian. , Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian.
959,kesal, Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data. , Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data.
960,kecewa, Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus. , Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus.
961,puas, Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik. , Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik.
962,senang, Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus. , Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus.
963,biasa saja, Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik. , Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik.
964,kesal, Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa. , Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa.
965,kecewa, Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus. , Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus.
966,puas, Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik. , Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik.
967,senang, Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus. , Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus.
968,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat. , Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat.
969,kesal, Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa. , Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa.
970,kecewa, Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus. , Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus.
971,puas, Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya. , Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya.
972,senang, Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus. , Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus.
973,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang istimewa.
974,kesal, Tata usaha kampus kurang responsif dan membuatkesal. , Tata usaha kampus kurang responsif dan membuatkesal.
975,kecewa, Sangatkecewa dengan penanganan administrasi yang lambat. , Sangatkecewa dengan penanganan administrasi yang lambat.
976,puas, Pelayanan tata usaha kampus sangat baik dan memberikan solusi yang memuaskan. , Pelayanan tata usaha kampus sangat baik dan memberikan solusi yang memuaskan.
977,senang, Sayasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya. , Sayasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya.
978,biasa saja, Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian. , Pelayanan tata usaha kampus tergolongbiasa saja tidak ada yang menarik perhatian.
979,kesal, Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data. , Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data.
980,kecewa, Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus. , Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus.
981,puas, Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik. , Pelayanan tata usaha kampus sangat membantu dan memberikan solusi yang baik.
982,senang, Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus. , Sayasenang dengan pelayanan ramah dan informatif dari staf tata usaha kampus.
983,biasa saja, Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik. , Pelayanan tata usaha kampus tergolong standar dan tidak memiliki hal yang unik.
984,kesal, Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa. , Sayakesal karena tata usaha kampus sering mengabaikan keluhan mahasiswa.
985,kecewa, Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus. , Saya merasa kecewa  dengan pelayanan yang lambat dan kurang proaktif dari tata usaha kampus.
986,puas, Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik. , Pelayanan tata usaha kampus luar biasa mereka selalu siap membantu dan memberikan solusi terbaik.
987,senang, Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus. , Saya merasasenang dengan respon cepat dan tepat dari tata usaha kampus.
988,biasa saja, Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat. , Pelayanan tata usaha kampusbiasa saja tidak ada yang istimewa untuk dicatat.
989,kesal, Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa. , Sayakesal karena tata usaha kampus sering kali lalai dalam menanggapi keluhan mahasiswa.
990,kecewa, Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus. , Saya merasa kecewa  dengan tingkat ketidakprofesionalan staf tata usaha kampus.
991,puas, Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya. , Pelayanan tata usaha kampus memberikan solusi yang sangat memuaskan dan membantu saya.
992,senang, Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus. , Sayasenang dengan pelayanan cepat dan efisien dari tata usaha kampus.
993,biasa saja, Pelayanan tata usaha kampus terbilangbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampus terbilangbiasa saja tidak ada yang istimewa.
994,kesal,Tata usaha kampus kurang responsif dan membuatkesal.,Tata usaha kampus kurang responsif dan membuatkesal.
995,kecewa,Sangatkecewa dengan penanganan administrasi yang lambat.,Sangatkecewa dengan penanganan administrasi yang lambat.
996,puas,Pelayanan tata usaha kampus sangat baik dan memberikan solusi yang memuaskan.,Pelayanan tata usaha kampus sangat baik dan memberikan solusi yang memuaskan.
997,senang,Sayasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya.,Sayasenang dengan pelayanan tata usaha kampus yang ramah dan terpercaya.
998,biasa saja, Pelayanan tata usaha kampus terbilangbiasa saja tidak ada yang istimewa. , Pelayanan tata usaha kampus terbilangbiasa saja tidak ada yang istimewa.
999,kesal,Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data.,Sayakesal karena tata usaha kampus sering mengalamikesalahan dalam pengarsipan data.
1000,kecewa,Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus.,Saya sangatkecewa dengan ketidakprofesionalan pelayanan tata usaha kampus.
1001,puas, Pelayanan tata usaha kampus sangat membantu dan solutif., Pelayanan tata usaha kampus sangat membantu dan solutif.
1002,senang, Sayasenang dengan respon cepat dan pelayanan yang baik dari tata usaha kampus., Sayasenang dengan respon cepat dan pelayanan yang baik dari tata usaha kampus.
1003,kesal, Sayakesal karena seringkali tata usaha kampus kurang tanggap terhadap keluhan mahasiswa., Sayakesal karena seringkali tata usaha kampus kurang tanggap terhadap keluhan mahasiswa.
1004,kecewa, Saya merasa kecewa  dengan sikap tidak ramah dari staf tata usaha kampus., Saya merasa kecewa  dengan sikap tidak ramah dari staf tata usaha kampus.
1005,puas, Pelayanan tata usaha kampus selalu memberikan solusi yang memuaskan dan cepat., Pelayanan tata usaha kampus selalu memberikan solusi yang memuaskan dan cepat.
1006,senang, Sayasenang dengan pelayanan tata usaha kampus yang informatif dan terpercaya., Sayasenang dengan pelayanan tata usaha kampus yang informatif dan terpercaya.
1007,kesal, Sayakesal karena tata usaha kampus seringkali tidak memberikan informasi yang jelas., Sayakesal karena tata usaha kampus seringkali tidak memberikan informasi yang jelas.
1008,kecewa, Saya merasa kecewa  dengan kualitas pelayanan tata usaha kampus yang menurun., Saya merasa kecewa  dengan kualitas pelayanan tata usaha kampus yang menurun.
1009,puas, Pelayanan tata usaha kampus sangat membantu dalam menangani permasalahan mahasiswa., Pelayanan tata usaha kampus sangat membantu dalam menangani permasalahan mahasiswa.
1010,senang, Sayasenang dengan pelayanan tata usaha kampus yang ramah dan efisien., Sayasenang dengan pelayanan tata usaha kampus yang ramah dan efisien.
1011,kesal, Sayakesal karena tata usaha kampus seringkali lambat dalam menanggapi surat-menyurat., Sayakesal karena tata usaha kampus seringkali lambat dalam menanggapi surat-menyurat.
1012,kecewa, Saya merasa kecewa  dengan pelayanan tata usaha kampus yang tidak sesuai harapan., Saya merasa kecewa  dengan pelayanan tata usaha kampus yang tidak sesuai harapan.
1013,puas, Pelayanan tata usaha kampus sangat membantu dalam proses administrasi., Pelayanan tata usaha kampus sangat membantu dalam proses administrasi.
1014,senang, Sayasenang dengan respon cepat dan pelayanan yang ramah dari tata usaha kampus., Sayasenang dengan respon cepat dan pelayanan yang ramah dari tata usaha kampus.
1015,kesal, Sayakesal karena tata usaha kampus seringkali tidak memberikan penjelasan yang memadai., Sayakesal karena tata usaha kampus seringkali tidak memberikan penjelasan yang memadai.
1016,kecewa, Saya merasa kecewa  dengan proses pendaftaran yang rumit di tata usaha kampus., Saya merasa kecewa  dengan proses pendaftaran yang rumit di tata usaha kampus.
1017,puas, Pelayanan tata usaha kampus sangat responsif dan membantu mahasiswa., Pelayanan tata usaha kampus sangat responsif dan membantu mahasiswa.
1018,senang, Sayasenang dengan pelayanan tata usaha kampus yang efisien dan terpercaya., Sayasenang dengan pelayanan tata usaha kampus yang efisien dan terpercaya.
1019,kesal, Sayakesal karena tata usaha kampus seringkali lambat dalam mengurus izin studi., Sayakesal karena tata usaha kampus seringkali lambat dalam mengurus izin studi.
1020,kecewa, Saya merasa kecewa  dengan kurangnya informasi yang disediakan oleh tata usaha kampus., Saya merasa kecewa  dengan kurangnya informasi yang disediakan oleh tata usaha kampus.
1021,puas, Pelayanan tata usaha kampus sangat membantu dan solutif dalam menangani permasalahan akademik., Pelayanan tata usaha kampus sangat membantu dan solutif dalam menangani permasalahan akademik.
1022,senang, Sayasenang dengan sistem pelayanan yang efisien dan teratur di tata usaha kampus., Sayasenang dengan sistem pelayanan yang efisien dan teratur di tata usaha kampus.
1023,kesal, Sayakesal karena seringkali tata usaha kampus mengabaikan pertanyaan dan permohonan mahasiswa., Sayakesal karena seringkali tata usaha kampus mengabaikan pertanyaan dan permohonan mahasiswa.
1024,kecewa, Saya merasa kecewa  dengan tingkat responsivitas yang rendah dari tata usaha kampus., Saya merasa kecewa  dengan tingkat responsivitas yang rendah dari tata usaha kampus.
1025,puas, Pelayanan tata usaha kampus selalu memberikan solusi yang memuaskan dan tepat waktu., Pelayanan tata usaha kampus selalu memberikan solusi yang memuaskan dan tepat waktu.
1026,senang, Sayasenang dengan pelayanan tata usaha kampus yang informatif dan cepat tanggap., Sayasenang dengan pelayanan tata usaha kampus yang informatif dan cepat tanggap.
1027,kesal, Sayakesal karena tata usaha kampus seringkali memberikan informasi yang salah atau tidak akurat., Sayakesal karena tata usaha kampus seringkali memberikan informasi yang salah atau tidak akurat.
1028,kecewa, Saya merasa kecewa  dengan tingkat profesionalisme staf tata usaha kampus yang rendah., Saya merasa kecewa  dengan tingkat profesionalisme staf tata usaha kampus yang rendah.
1029,puas, Pelayanan tata usaha kampus sangat membantu dalam proses administrasi dan pembayaran., Pelayanan tata usaha kampus sangat membantu dalam proses administrasi dan pembayaran.
1030,senang, Sayasenang dengan pelayanan tata usaha kampus yang ramah dan terorganisir., Sayasenang dengan pelayanan tata usaha kampus yang ramah dan terorganisir.
1031,kesal, Sayakesal karena seringkali tata usaha kampus tidak menghiraukan keluhan mahasiswa., Sayakesal karena seringkali tata usaha kampus tidak menghiraukan keluhan mahasiswa.
1032,kecewa, Saya merasa kecewa  dengan kurangnya transparansi dalam proses administrasi tata usaha kampus., Saya merasa kecewa  dengan kurangnya transparansi dalam proses administrasi tata usaha kampus.
1033,puas, Pelayanan tata usaha kampus sangat membantu dan ramah terhadap mahasiswa baru., Pelayanan tata usaha kampus sangat membantu dan ramah terhadap mahasiswa baru.
1034,senang, Sayasenang dengan pelayanan tata usaha kampus yang sigap dalam menanggapi permintaan., Sayasenang dengan pelayanan tata usaha kampus yang sigap dalam menanggapi permintaan.
1035,kesal, Sayakesal karena tata usaha kampus seringkali lalai dalam proses pengurusan dokumen., Sayakesal karena tata usaha kampus seringkali lalai dalam proses pengurusan dokumen.
1036,kecewa, Saya merasa kecewa  dengan tingkat ketidakefisienan pelayanan tata usaha kampus., Saya merasa kecewa  dengan tingkat ketidakefisienan pelayanan tata usaha kampus.
1037,puas, Pelayanan tata usaha kampus sangat membantu dan ramah dalam memberikan informasi., Pelayanan tata usaha kampus sangat membantu dan ramah dalam memberikan informasi.
1038,senang, Sayasenang dengan respon cepat dan tepat dari tata usaha kampus., Sayasenang dengan respon cepat dan tepat dari tata usaha kampus.
1039,kesal, Sayakesal karena seringkali tata usaha kampus kurang tanggap dalam menyelesaikan masalah mahasiswa., Sayakesal karena seringkali tata usaha kampus kurang tanggap dalam menyelesaikan masalah mahasiswa.
1040,kecewa, Saya merasa kecewa  dengan ketidaksesuaian antara informasi yang diberikan oleh tata usaha kampus dengan kenyataan., Saya merasa kecewa  dengan ketidaksesuaian antara informasi yang diberikan oleh tata usaha kampus dengan kenyataan.
1041,puas, Pelayanan tata usaha kampus sangat baik dan membantu mahasiswa dalam mengurus berbagai administrasi., Pelayanan tata usaha kampus sangat baik dan membantu mahasiswa dalam mengurus berbagai administrasi.
1042,kesal, Sayakesal karena tata usaha kampus seringkali tidak memberikan informasi yang jelas dan akurat., Sayakesal karena tata usaha kampus seringkali tidak memberikan informasi yang jelas dan akurat.
1043,kecewa, Saya merasa kecewa  dengan kualitas pelayanan tata usaha kampus yang menurun dari waktu ke waktu., Saya merasa kecewa  dengan kualitas pelayanan tata usaha kampus yang menurun dari waktu ke waktu.
1044,puas, Pelayanan tata usaha kampus sangat responsif dan membantu dalam memberikan solusi atas masalah mahasiswa., Pelayanan tata usaha kampus sangat responsif dan membantu dalam memberikan solusi atas masalah mahasiswa.
1045,kesal, Sayakesal karena tata usaha kampus seringkali lambat dalam mengurus permohonan dan pengajuan surat., Sayakesal karena tata usaha kampus seringkali lambat dalam mengurus permohonan dan pengajuan surat.
1046,kecewa, Saya merasa kecewa  dengan pelayanan tata usaha kampus yang tidak memenuhi harapan., Saya merasa kecewa  dengan pelayanan tata usaha kampus yang tidak memenuhi harapan.
1047,puas, Pelayanan tata usaha kampus sangat membantu dalam memberikan panduan mengenai proses administrasi., Pelayanan tata usaha kampus sangat membantu dalam memberikan panduan mengenai proses administrasi.
1048,kesal, Sayakesal karena tata usaha kampus seringkali tidak sigap dalam menanggapi keluhan dan masalah mahasiswa., Sayakesal karena tata usaha kampus seringkali tidak sigap dalam menanggapi keluhan dan masalah mahasiswa.
1049,kecewa, Saya merasa kecewa  dengan sikap kurang ramah dari staf tata usaha kampus., Saya merasa kecewa  dengan sikap kurang ramah dari staf tata usaha kampus.
1050,puas, Pelayanan tata usaha kampus sangat efisien dan membantu dalam proses administrasi mahasiswa., Pelayanan tata usaha kampus sangat efisien dan membantu dalam proses administrasi mahasiswa.
1051,kesal, Sayakesal karena tata usaha kampus seringkali mengabaikan permintaan dan keluhan mahasiswa., Sayakesal karena tata usaha kampus seringkali mengabaikan permintaan dan keluhan mahasiswa.
1052,kecewa, Saya merasa kecewa  dengan kualitas pelayanan tata usaha kampus yang menurun seiring waktu., Saya merasa kecewa  dengan kualitas pelayanan tata usaha kampus yang menurun seiring waktu.
1053,puas, Pelayanan tata usaha kampus sangat membantu dalam menyediakan informasi mengenai program studi., Pelayanan tata usaha kampus sangat membantu dalam menyediakan informasi mengenai program studi.
1054,kesal, Sayakesal karena tata usaha kampus seringkali tidak responsif terhadap permohonan dan pertanyaan mahasiswa., Sayakesal karena tata usaha kampus seringkali tidak responsif terhadap permohonan dan pertanyaan mahasiswa.
1055,kecewa, Saya merasa kecewa  dengan kurangnya koordinasi antara unit tata usaha kampus dalam mengurus administrasi mahasiswa., Saya merasa kecewa  dengan kurangnya koordinasi antara unit tata usaha kampus dalam mengurus administrasi mahasiswa.
